,0,Illiterate Male,dsf,Illiterate Persons,Literates Population Female,Literates Population Male,Literates Population Person,Main Agricultural Labourers Population Female,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Person,Main Cultivator Population Female,Main Cultivator Population Male,Main Cultivator Population Person,Main Household Industries Population Female,Main Household Industries Population Male,Main Household Industries Population Person,Main Other Workers Population Female,Main Other Workers Population Male,Main Other Workers Population Person,Main Working Population Female,Main Working Population Male,Main Working Population Person,Marginal Agriculture Labourers Population 0_3 Female,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population Female,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3_Female,Marginal Cultivator Population 3_6 Female,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population Female,Marginal Cultivator Population Male,Marginal Cultivator Population Person,Marginal Household Industries Population 0_3 Female,Marginal Household Industries Population 0_3 Male
0,3934,3101,7035,7035,12652,15096.0,27748,66.0,220.0,167.0,126.0,315.0,148.0,730.0,1294.0,2024.0,2691.0,9483.0,12174,2812.0,9930.0,12742,14.0,7.0,17.0,82.0,46.0,170.0,65.0,90.0,63.0,3.0,7.0,3.0,49.0,85.0,70.0,45.0,56.0,127.0,21.0,70.0
1,5313,4129,9442,9442,12229,14931.0,27160,113.0,429.0,161.0,106.0,109.0,366.0,112.0,931.0,348.0,3912.0,9664.0,13576,4742.0,11173.0,15915,6.0,11.0,13.0,35.0,42.0,81.0,57.0,50.0,174.0,2.0,65.0,65.0,32.0,116.0,124.0,40.0,51.0,116.0,137.0,24.0
2,6161,5230,11391,11391,21169,25569.0,46738,142.0,153.0,122.0,68.0,188.0,157.0,240.0,857.0,141.0,4497.0,16640.0,21137,4681.0,17095.0,21776,11.0,10.0,26.0,44.0,26.0,73.0,51.0,59.0,84.0,1.0,3.0,2.0,69.0,121.0,62.0,32.0,87.0,188.0,34.0,253.0
3,4665,3722,8387,8387,15522,18077.0,33599,38.0,86.0,571.0,379.0,134.0,314.0,246.0,335.0,1171.0,3974.0,11331.0,15305,4055.0,11561.0,15616,7.0,21.0,10.0,64.0,37.0,74.0,58.0,43.0,16.0,0.0,2.0,4.0,178.0,38.0,27.0,62.0,32.0,299.0,47.0,17.0
4,7739,6407,14146,14146,17017,20862.0,37879,103.0,151.0,216.0,49.0,169.0,94.0,115.0,228.0,1103.0,3509.0,13148.0,23753,3913.0,14614.0,18527,4.0,12.0,9.0,52.0,96.0,31.0,84.0,108.0,76.0,4.0,4.0,0.0,33.0,54.0,78.0,70.0,46.0,81.0,18.0,97.0
5,9698,8826,18524,18524,24477,28854.0,53331,124.0,279.0,177.0,59.0,114.0,49.0,101.0,501.0,395.0,4661.0,19092.0,27321,5097.0,20487.0,25584,16.0,8.0,21.0,48.0,50.0,111.0,78.0,56.0,77.0,,6.0,1.0,64.0,60.0,113.0,178.0,54.0,9.0,25.0,19.0
6,8287,6665,14952,14952,25944,31258.0,57202,186.0,482.0,367.0,76.0,72.0,204.0,281.0,277.0,436.0,6855.0,20466.0,17580,7159.0,21087.0,28246,10.0,14.0,22.0,37.0,144.0,148.0,133.0,147.0,116.0,,1.0,,36.0,72.0,64.0,64.0,118.0,45.0,19.0,15.0
7,5907,4740,10647,10647,16685,20214.0,36899,37.0,407.0,585.0,50.0,514.0,275.0,118.0,213.0,303.0,4207.0,13373.0,19672,4397.0,13906.0,18303,9.0,13.0,5.0,57.0,22.0,69.0,32.0,31.0,165.0,,0.0,,43.0,33.0,185.0,36.0,121.0,128.0,40.0,49.0
8,5341,4677,10018,10018,22472,24705.0,47177,23.0,94.0,531.0,5.0,205.0,182.0,90.0,520.0,204.0,4851.0,14821.0,15252,4997.0,15249.0,20246,2.0,28.0,44.0,84.0,88.0,43.0,22.0,91.0,78.0,,5.0,,30.0,58.0,299.0,43.0,38.0,28.0,22.0,28.0
9,3132,2440,5572,5572,13188,17636.0,30824,133.0,552.0,129.0,48.0,74.0,102.0,146.0,232.0,782.0,2925.0,12327.0,12444,3035.0,12684.0,15719,5.0,4.0,11.0,29.0,122.0,87.0,73.0,36.0,46.0,,,,53.0,29.0,68.0,34.0,11.0,71.0,31.0,14.0
